Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.028209677,0.023739586,0.014312335,-0.0043125916,0.051791765,-27.54795,-27.552422
-0.03146728,0.09647173,0.023510804,0.05039055,0.14255291,-27.579418,-27.45595
0.07579309,0.11782712,0.02913518,0.06072216,0.17493208,-27.503626,-27.338121
0.032302152,0.04824783,0.012721097,0.023314478,0.07318118,-27.471323,-27.289875
0.17805915,0.12200307,0.02522758,0.07255702,0.17144912,-27.293264,-27.167871
0.059447527,0.04331903,0.014329508,0.015233196,0.07140487,-27.233816,-27.124552
-0.06806043,-0.016440637,0.007974926,-0.032071494,-0.00080978125,-27.301876,-27.140993
-0.0943258,-0.03283102,0.00846143,-0.049415424,-0.016246619,-27.396202,-27.173824
-0.061453763,-0.05546801,0.011243672,-0.07750561,-0.033430412,-27.457657,-27.229292
-0.14040753,-0.04862201,0.011439561,-0.07104355,-0.026200468,-27.598064,-27.277914
-0.08315914,-0.032803982,0.009927808,-0.052262485,-0.013345478,-27.681223,-27.310719
-0.019195698,-0.006007729,0.005618223,-0.017019447,0.005003988,-27.700418,-27.316725
0.0031967743,0.0014873098,0.012035643,-0.022102552,0.02507717,-27.697222,-27.315239
-0.023328457,0.031387027,0.009158082,0.013437185,0.04933687,-27.72055,-27.283852
0.034612667,0.027892906,0.008901764,0.0104454495,0.045340363,-27.685938,-27.255959
0.103297696,0.0609496,0.015888179,0.02980877,0.09209043,-27.58264,-27.19501
0.15229551,0.10895102,0.025426,0.059116054,0.15878598,-27.430344,-27.086058
-0.031428494,0.045941606,0.010114846,0.026116507,0.06576671,-27.461773,-27.040115
-0.045077957,0.003914183,0.0055543375,-0.0069723185,0.0148006845,-27.506851,-27.036201
-0.095258065,-0.02864353,0.009362929,-0.046994872,-0.010292189,-27.602108,-27.064846
-0.06758065,-0.05775404,0.01392417,-0.08504541,-0.030462665,-27.66969,-27.122599
-0.085,-0.061142653,0.015418532,-0.091362976,-0.030922329,-27.75469,-27.183743
-0.09716,-0.011677682,0.007010078,-0.025417436,0.002062071,-27.851849,-27.19542
0.039301936,-0.008372487,0.0054358756,-0.019026803,0.0022818297,-27.812548,-27.203793
0.021337098,-0.005564607,0.004893185,-0.01515525,0.0040260362,-27.79121,-27.209356
-0.0110600665,0.022776663,0.006137803,0.010746568,0.03480676,-27.80227,-27.18658
0.037381034,0.038506683,0.012321777,0.014356,0.06265736,-27.764889,-27.148073
0.08731,0.08203865,0.018224375,0.046318874,0.11775842,-27.67758,-27.066034
0.1659158,0.14619379,0.028056353,0.09120333,0.20118424,-27.511663,-26.919842
0.101254195,0.09050407,0.018462911,0.054316767,0.12669137,-27.41041,-26.829336
-0.008315484,0.020248404,0.009084011,0.0024437401,0.038053066,-27.418724,-26.809088
-0.029648388,-0.015052051,0.007150561,-0.029067151,-0.0010369513,-27.448374,-26.82414
-0.1042228,-0.050922036,0.013028511,-0.07645792,-0.025386155,-27.552597,-26.875063
-0.16500947,-0.032405447,0.010852599,-0.05367654,-0.011134354,-27.717606,-26.907469
-0.112597205,-0.021492692,0.00878141,-0.038704254,-0.004281128,-27.830202,-26.92896
-0.10124796,-0.015472103,0.0074065207,-0.029988885,-0.0009553218,-27.93145,-26.944433
0.0515,-0.013295152,0.009812557,-0.032527763,0.00593746,-27.879951,-26.957727
0.086243436,0.04243371,0.013003118,0.016947597,0.06791982,-27.793707,-26.915295
-0.05210795,0.017583497,0.006124898,0.0055786967,0.029588297,-27.845816,-26.89771
0.06814247,0.052318335,0.015080409,0.022760732,0.081875935,-27.777674,-26.845392
0.034060754,0.09882481,0.018254625,0.06304574,0.13460387,-27.743612,-26.746569
0.12541702,0.05190384,0.014651852,0.02318621,0.080621466,-27.618195,-26.694664
-0.034631003,0.0030662653,0.0062748143,-0.009232371,0.015364901,-27.652826,-26.691597
-0.09135699,-0.030238979,0.010903169,-0.05160919,-0.008868767,-27.744183,-26.721836
-0.19620645,-0.063375376,0.016705088,-0.09611735,-0.030633401,-27.94039,-26.785212
-0.14780645,-0.04930578,0.011519724,-0.07188444,-0.026727123,-28.088196,-26.834518
-0.102903545,-0.009778588,0.00807542,-0.025606412,0.0060492354,-28.1911,-26.844296
-0.022902904,-0.008601941,0.0051981825,-0.01879038,0.0015864968,-28.214003,-26.852898
0.025464516,0.019353084,0.008660345,0.0023788065,0.036327362,-28.188538,-26.833546
0.08375196,0.027179204,0.0084194895,0.010677004,0.043681405,-28.104786,-26.806366
0.0021480415,0.03458782,0.011102365,0.012827182,0.056348458,-28.102638,-26.771778
0.05473172,0.0651217,0.015389723,0.034957845,0.095285565,-28.047907,-26.706657
0.08119409,0.116673104,0.024558073,0.06853928,0.16480693,-27.966713,-26.589983
0.03848925,0.043872528,0.012006911,0.02033898,0.06740607,-27.928223,-26.54611
-0.0215957,0.0054952777,0.0065295617,-0.0073026638,0.018293219,-27.949818,-26.540615
-0.046358064,-0.032600295,0.008959263,-0.05016045,-0.015040141,-27.996176,-26.573215
-0.17891957,-0.0639716,0.013846516,-0.09111077,-0.03683243,-28.175097,-26.637188
-0.06760946,-0.041113928,0.013404898,-0.06738753,-0.014840327,-28.242706,-26.6783
-0.1375672,-0.01663481,0.00809684,-0.03250462,-0.00076500326,-28.380272,-26.694937
-0.011081182,-0.0023581283,0.004277406,-0.010741844,0.006025587,-28.391354,-26.697294
-0.12043871,0.023451786,0.008545977,0.0067016706,0.040201902,-28.511793,-26.673843
0.08598894,0.037291802,0.010848182,0.016029365,0.05855424,-28.425804,-26.63655
0.076543316,0.03368598,0.009084828,0.015879715,0.051492244,-28.34926,-26.602865
0.064050965,0.07983253,0.019076679,0.04244224,0.11722282,-28.28521,-26.523033
0.09532,0.10757156,0.02067384,0.06705083,0.14809228,-28.18989,-26.41546
0.05156,0.028811283,0.009433104,0.010322399,0.047300167,-28.138329,-26.38665
-0.036572903,0.011850927,0.0077157803,-0.0032720026,0.026973857,-28.174902,-26.374798
-0.04735484,-0.042253617,0.01356402,-0.068839096,-0.015668137,-28.222258,-26.417051
-0.11716559,-0.060712375,0.015638873,-0.09136456,-0.030060183,-28.339422,-26.477764
-0.1719215,-0.03126477,0.010987739,-0.052800737,-0.009728802,-28.511345,-26.50903
0.046501506,-0.013061809,0.0069947992,-0.026771616,0.0006479975,-28.464842,-26.52209
-0.13411118,-0.007606423,0.006090097,-0.019543014,0.004330168,-28.598953,-26.529697
-0.0032580646,0.005804748,0.0067960606,-0.0075155315,0.019125028,-28.602211,-26.523893
-0.012077419,0.02522158,0.0076227314,0.010281027,0.040162135,-28.614288,-26.49867
0.053564515,0.04165396,0.012236017,0.017671367,0.06563655,-28.560724,-26.457016
0.10326882,0.05970478,0.013512227,0.033220816,0.08618875,-28.457457,-26.397312
0.056576345,0.105875045,0.020126408,0.06642728,0.1453228,-28.400879,-26.291437
0.093880326,0.06414679,0.014539415,0.03564953,0.09264404,-28.307,-26.227291
0.0032874194,0.00957666,0.00557616,-0.0013526138,0.020505933,-28.30371,-26.217714
-0.09652258,-0.014805567,0.0067846277,-0.028103437,-0.0015076967,-28.400234,-26.23252
-0.123988174,-0.04767353,0.01201003,-0.07121319,-0.02413387,-28.524223,-26.280193
-0.13123764,-0.035071354,0.010110625,-0.05488818,-0.015254529,-28.65546,-26.315264
-0.0966557,-0.009329292,0.0074197603,-0.023872022,0.0052134385,-28.752115,-26.324593
-0.1377056,-0.009444469,0.005987165,-0.021179311,0.0022903746,-28.889822,-26.334038
0.11140645,0.022093764,0.011230972,8.105859e-05,0.04410647,-28.778416,-26.311945
0.004165092,0.060718194,0.014154378,0.032975614,0.08846077,-28.77425,-26.251226
0.12595426,0.035458617,0.009486892,0.016864307,0.054052927,-28.648296,-26.215767
0.06797978,0.07361296,0.016269978,0.0417238,0.10550211,-28.580317,-26.142155
0.12221699,0.056366943,0.012267167,0.032323293,0.08041059,-28.4581,-26.085787
-0.020290323,0.026272997,0.008920983,0.008787869,0.043758124,-28.47839,-26.059515
0.017612902,0.012611213,0.007961684,-0.002993688,0.028216114,-28.460777,-26.046904
-0.10916774,-0.02986003,0.010878653,-0.05118219,-0.00853787,-28.569944,-26.076763
-0.10499516,-0.04532742,0.008125578,-0.061253555,-0.029401287,-28.67494,-26.122091
-0.12814355,-0.052192006,0.016269615,-0.08408046,-0.020303559,-28.803083,-26.174282
-0.05282312,-0.02062025,0.006937101,-0.034216966,-0.007023531,-28.855906,-26.194902
-0.032860752,-0.010477318,0.0056250123,-0.021502342,0.00054770615,-28.888767,-26.20538
