Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.028209677,-0.0051018987,4.1031046e-05,-0.0051823193,-0.005021478,-27.54795,-27.581263
-0.03146728,-0.004903163,0.0015373959,-0.007916459,-0.0018898668,-27.579418,-27.586166
0.07579309,-0.006820869,0.00022882363,-0.0072693634,-0.006372375,-27.503626,-27.592987
0.032302152,-0.006077614,0.0010996605,-0.008232949,-0.0039222795,-27.471323,-27.599064
0.17805915,-0.0068189623,0.001914033,-0.0105704665,-0.0030674576,-27.293264,-27.605883
0.059447527,-0.0019519607,0.0011640029,-0.0042334064,0.00032948505,-27.233816,-27.607836
-0.06806043,-0.0036162343,0.003834823,-0.011132488,0.003900019,-27.301876,-27.61145
-0.0943258,-0.0020495295,0.00087878597,-0.00377195,-0.0003271089,-27.396202,-27.6135
-0.061453763,-0.002110953,0.003061947,-0.008112369,0.0038904632,-27.457657,-27.615612
-0.14040753,-0.006394619,0.0009231132,-0.008203921,-0.0045853173,-27.598064,-27.622005
-0.08315914,-0.0015786936,0.0021912036,-0.005873453,0.0027160654,-27.681223,-27.623585
-0.019195698,-0.005160377,0.00029104343,-0.005730822,-0.0045899316,-27.700418,-27.628746
0.0031967743,-0.0040359255,0.003103133,-0.010118066,0.0020462153,-27.697222,-27.632782
-0.023328457,-0.0056900717,0.0021909813,-0.009984395,-0.0013957485,-27.72055,-27.638472
0.034612667,-0.00616021,0.0021383734,-0.010351421,-0.001968998,-27.685938,-27.644632
0.103297696,-0.0063635046,0.0039144326,-0.014035793,0.0013087834,-27.58264,-27.650995
0.15229551,-0.0054991683,0.0011571904,-0.0077672615,-0.0032310751,-27.430344,-27.656494
-0.031428494,-0.001936617,0.00074730034,-0.0034013255,-0.00047190825,-27.461773,-27.65843
-0.045077957,-0.0048072794,0.0009887705,-0.0067452695,-0.0028692894,-27.506851,-27.663239
-0.095258065,-0.0029660622,0.0011873264,-0.005293222,-0.0006389024,-27.602108,-27.666204
-0.06758065,-0.0028145916,0.002472427,-0.007660548,0.0020313652,-27.66969,-27.669018
-0.085,-0.008208962,0.0039660754,-0.01598247,-0.0004354543,-27.75469,-27.677227
-0.09716,-0.0038412567,0.0025626076,-0.008863968,0.0011814544,-27.851849,-27.681068
0.039301936,-0.0037674024,0.0007939191,-0.0053234836,-0.002211321,-27.812548,-27.684835
0.021337098,-0.004778496,0.0020667717,-0.008829368,-0.00072762324,-27.79121,-27.689615
-0.0110600665,-0.0056674224,0.0010252926,-0.007676996,-0.003657849,-27.80227,-27.695282
0.037381034,-0.007109302,0.0016548175,-0.010352745,-0.0038658597,-27.764889,-27.70239
0.08731,-0.0030355903,0.0018316626,-0.006625649,0.0005544685,-27.67758,-27.705427
0.1659158,-0.0050080973,0.0010269317,-0.0070208833,-0.002995311,-27.511663,-27.710436
0.101254195,-0.006574656,0.00011266675,-0.0067954827,-0.006353829,-27.41041,-27.71701
-0.008315484,-0.0063644173,0.0015651637,-0.009432138,-0.0032966963,-27.418724,-27.723373
-0.029648388,-0.004452242,0.0015630024,-0.0075157266,-0.0013887575,-27.448374,-27.727827
