Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.028209677,-0.002449,0.00263,-0.007603,0.002705,-27.22669,-27.257349
-0.03146728,-0.002962,0.0007324,-0.0044,-0.001527,-27.258158,-27.26031
0.07579309,-0.006874,0.001743,-0.01029,-0.003458,-27.182365,-27.267183
0.032302152,-0.003365,0.003202,-0.00964,0.00291,-27.150063,-27.270555
0.17805915,-0.00252,0.001424,-0.00531,0.0002708,-26.972004,-27.273073
0.059447527,-0.002779,0.000423,-0.003609,-0.00195,-26.912556,-27.27585
-0.06806043,-0.00497,0.002405,-0.00969,-0.0002556,-26.980616,-27.280825
-0.0943258,-0.00381,0.001292,-0.006344,-0.001278,-27.074942,-27.28464
-0.061453763,-0.005737,0.0006905,-0.00709,-0.004383,-27.136396,-27.290361
-0.14040753,-0.004177,0.003365,-0.01077,0.002419,-27.276804,-27.294542
-0.08315914,-0.0075,0.002783,-0.012955,-0.002045,-27.359962,-27.30205
-0.019195698,-0.002716,0.0002441,-0.003195,-0.002237,-27.379158,-27.304766
0.0031967743,-0.006687,0.000977,-0.0086,-0.004772,-27.375961,-27.31145
-0.023328457,-0.00351,0.002584,-0.008575,0.001556,-27.39929,-27.314959
0.034612667,-0.002012,0.001245,-0.00445,0.0004272,-27.364677,-27.316973
0.103297696,-0.006634,0.001778,-0.01012,-0.003149,-27.26138,-27.323626
0.15229551,0.0008755,0.000598,-0.0002966,0.002048,-27.109083,-27.322771
-0.031428494,-0.001252,0.001092,-0.003391,0.000888,-27.140512,-27.324053
-0.045077957,-0.006157,0.001092,-0.0083,-0.004017,-27.18559,-27.330217
-0.095258065,-0.005577,0.002071,-0.009636,-0.001518,-27.280848,-27.335772
-0.06758065,-0.003849,0.0009456,-0.005703,-0.001995,-27.348429,-27.339617
-0.085,-0.004654,0.001337,-0.007275,-0.002033,-27.43343,-27.344255
-0.09716,-0.003017,0.002184,-0.007298,0.001263,-27.530588,-27.347246
0.039301936,-0.005577,0.001119,-0.00777,-0.003384,-27.491287,-27.3528
0.021337098,-0.003017,0.001403,-0.005768,-0.000267,-27.46995,-27.355791
-0.0110600665,-0.0001955,0.000546,-0.001266,0.0008745,-27.48101,-27.355974
0.037381034,-0.002342,0.000423,-0.00317,-0.0015135,-27.443628,-27.358294
0.08731,-0.001752,0.00379,-0.00918,0.005676,-27.35632,-27.360064
0.1659158,-0.0008307,0.002525,-0.00578,0.004116,-27.190403,-27.360918
0.101254195,-0.004246,0.003357,-0.010826,0.002335,-27.08915,-27.36519
-0.008315484,-0.004974,0.002184,-0.009254,-0.0006943,-27.097464,-27.370134
-0.029648388,-0.004017,0.003311,-0.010506,0.002472,-27.127113,-27.374163
