Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.028209677,-0.005123,0.01828,-0.04095,0.0307,-27.22669,-27.260023
-0.03146728,0.0686,0.02295,0.02362,0.1136,-27.258158,-27.191423
0.07579309,0.11334,0.03047,0.05362,0.1731,-27.182365,-27.078142
0.032302152,0.04865,0.02248,0.004578,0.0927,-27.150063,-27.029558
0.17805915,0.1177,0.02998,0.0589,0.1765,-26.972004,-26.911882
0.059447527,0.05508,0.02098,0.01398,0.0962,-26.912556,-26.856707
-0.06806043,-0.04483,0.01332,-0.0709,-0.01872,-26.980616,-26.901628
-0.0943258,-0.0881,0.02257,-0.1323,-0.04385,-27.074942,-26.989763
-0.061453763,-0.1108,0.02336,-0.1565,-0.065,-27.136396,-27.100603
-0.14040753,-0.11957,0.0217,-0.1621,-0.077,-27.276804,-27.220171
-0.08315914,-0.088,0.02225,-0.1316,-0.0444,-27.359962,-27.308184
-0.019195698,-0.05954,0.01775,-0.09436,-0.02475,-27.379158,-27.367693
0.0031967743,-0.05426,0.01787,-0.0893,-0.01923,-27.375961,-27.421892
-0.023328457,0.1259,0.0339,0.0594,0.1924,-27.39929,-27.296038
0.034612667,0.05728,0.02315,0.0119,0.10266,-27.364677,-27.238756
0.103297696,0.0979,0.01979,0.0591,0.1367,-27.26138,-27.140886
0.15229551,0.1006,0.02739,0.0469,0.1543,-27.109083,-27.0403
-0.031428494,0.0486,0.01545,0.01834,0.07886,-27.140512,-26.991716
-0.045077957,-0.02164,0.0091,-0.0395,-0.0038,-27.18559,-27.013323
-0.095258065,-0.072,0.02136,-0.1139,-0.03015,-27.280848,-27.085344
-0.06758065,-0.1085,0.0214,-0.1504,-0.0666,-27.348429,-27.193865
-0.085,-0.1146,0.02342,-0.1605,-0.0687,-27.43343,-27.308489
-0.09716,-0.05847,0.01712,-0.09204,-0.0249,-27.530588,-27.36696
0.039301936,-0.04434,0.01164,-0.06714,-0.02153,-27.491287,-27.411272
0.021337098,-0.0551,0.0172,-0.0888,-0.02142,-27.46995,-27.466326
-0.0110600665,0.0698,0.0214,0.0279,0.11176,-27.48101,-27.396502
0.037381034,0.03958,0.025,-0.0094,0.08856,-27.443628,-27.35695
0.08731,0.051,0.01978,0.01224,0.0897,-27.35632,-27.305956
0.1659158,0.1567,0.0375,0.08325,0.2302,-27.190403,-27.149187
0.101254195,0.09344,0.0249,0.04465,0.1422,-27.08915,-27.055681
-0.008315484,-0.02335,0.01668,-0.05603,0.00934,-27.097464,-27.078997
-0.029648388,-0.07654,0.01958,-0.11487,-0.03818,-27.127113,-27.155535
-0.1042228,-0.11224,0.02406,-0.1594,-0.06506,-27.231337,-27.267778
-0.16500947,-0.0809,0.02698,-0.1338,-0.02798,-27.396345,-27.34865
-0.112597205,-0.06274,0.01822,-0.09845,-0.02704,-27.508942,-27.411394
-0.10124796,-0.0773,0.01542,-0.1075,-0.04706,-27.61019,-27.488665
0.0515,-0.05066,0.03146,-0.1123,0.01102,-27.558691,-27.539324
0.086243436,0.1323,0.0293,0.0749,0.1897,-27.472446,-27.407
